file,round,process,target,metric,operand,compression,communication
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,1,10,3,internode_time,B,0.387936,0.880038
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,1,10,3,internode_time,A,0.388032,8.68883
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,1,10,1,internode_time,A,0.36752,9.24786
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,1,6,2,internode_time,A,0.305472,0.173365
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,1,6,2,internode_time,B,0.304896,0.951031
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,1,2,0,internode_time,B,4.81408,0.82081
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,1,5,2,internode_time,B,0.38928,0.829456
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,1,5,2,internode_time,A,98.283455,55.6082
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,1,10,1,internode_time,B,1.380992,0.61657
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,1,0,3,internode_time,B,2.19152,1.613565
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,1,0,1,internode_time,B,0.280864,0.762256
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,1,0,2,internode_time,B,0.50416,1.277895
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,1,0,1,internode_time,A,1.872352,0.700777
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,1,0,2,internode_time,A,128.292191,8.270638
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,1,15,1,internode_time,A,0.51072,16.394243
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,1,5,1,internode_time,A,0.672544,0.255455
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,1,5,1,internode_time,B,0.80336,0.213153
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,1,10,2,internode_time,B,0.749952,0.302765
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,1,10,2,internode_time,A,0.827552,0.290511
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,1,1,2,internode_time,A,0.106016,0.439221
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,1,1,1,internode_time,B,0.095136,0.427057
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,1,3,2,internode_time,A,0.221248,0.460803
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,1,3,0,internode_time,A,0.302976,7.602052
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,1,4,2,internode_time,B,0.09808,0.475781
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,1,4,1,internode_time,A,0.101888,0.430243
